Date,Calib. Date,Time ,Sample.ID,Treatment,Temperature,pH_mV,pH,Salinity (PSU),Notes (sampler)
20181102,20181102,16:30,TANK1,low,11.324,-6.5,7.14,29.63,
20181102,20181102,16:30,TANK2,low,11.373,13.9,6.64,29.63,
20181107,20181107,12:54,TANK1,low,10.483,1.7,7.03,29.76,
20181107,20181107,12:55,TANK2,low,10.5,4.8,6.97,29.81,
20181107,20181107,12:57,TANK3,amb,10.476,-34.8,7.65,29.86,
20181107,20181107,13:00,TANK4,amb,10.481,-34.8,7.65,29.87,
20181112,20181107,11:10,TANK1,low,9.452,-2.29,7.04,30.03,
20181112,20181107,13:21,TANK1,low,9.875,8,6.86,30.08,
20181112,20181107,11:12,TANK2,low,9.463,-1.71,7.03,30.09,
20181112,20181107,13:24,TANK2,low,9.88,14.86,6.74,30.01,
20181112,20181107,11:12,TANK3,amb,9.458,-37.71,7.66,30.13,
20181112,20181107,13:30,TANK3,amb,9.88,-34.86,7.61,30.09,
20181112,20181107,11:13,TANK4,amb,9.455,-37.14,7.65,30.14,
20181112,20181107,13:28,TANK4,amb,9.871,-34.86,7.61,30.13,
20181116,20181107,12:09,TANK1,low,9.577,12,6.97,30.24,
20181116,20181107,12:11,TANK2,low,9.567,13.2,6.77,30.29,
20181116,20181107,12:13,TANK3,amb,9.606,-36.8,7.64,30.3,
20181116,20181107,12:16,TANK4,amb,9.602,-36.5,7.64,30.3,
20181119,20181119,11:38,TANK1,low,8.315,10.6,6.81,30.04,
20181119,20181119,11:40,TANK2,low,8.327,15,6.74,30.08,
20181119,20181119,11:44,TANK3,amb,8.325,-39.9,7.7,30.1,
20181119,20181119,11:49,TANK4,amb,8.344,-39.8,7.7,30.11,
20181128,20181128,13:30,TANK1,low,10.214,8.4,6.85,29.82,
20181128,20181128,13:32,TANK2,low,10.206,11.3,6.8,29.81,
20181128,20181128,13:33,TANK3,amb,10.196,-40.1,7.7,29.82,
20181128,20181128,13:36,TANK4,amb,10.192,-40.1,7.7,29.82,
20181205,20181128,13:40,TANK1,low,9.389,6.8,6.88,29.7,
20181205,20181128,13:43,TANK2,low,9.4,8.6,6.85,29.77,
20181205,20181128,13:45,TANK3,amb,9.378,-35.5,7.62,29.77,
20181205,20181128,13:47,TANK4,amb,9.414,-36.7,7.64,29.77,
20181205,20181128,13:49,TANK5,low-variable,9.359,-13,7.23,29.79,
20181205,20181128,13:52,TANK6,amb,9.267,-32.8,7.57,29.79,
20181212,20181128,16:40,TANK1,low,9.865,6.1,6.89,28.93,
20181212,20181128,16:41,TANK2,low,9.883,8,6.86,28.94,
20181212,20181128,16:42,TANK3,amb,9.876,-40.2,7.7,28.93,
20181212,20181128,16:44,TANK4,amb,9.874,-40.2,7.7,29.92,
20181212,20181128,16:45,TANK5,low-variable,9.909,-3.1,7.05,28.96,
20181212,20181128,16:47,TANK6,amb,9.845,-40.5,7.71,28.93,
20181219,20181128,13:42,TANK1,low,10.642,4.2,6.93,28.3,
20181219,20181128,13:44,TANK2,low,10.662,8.2,6.86,28.37,
20181219,20181128,13:48,TANK3,amb,10.669,-42.1,7.74,28.36,
20181219,20181128,13:50,TANK4,amb,10.668,-41,7.72,28.39,
20181219,20181128,13:54,TANK5,low-variable,10.667,9.4,6.84,28.37,
20181219,20181128,13:58,TANK6,amb,10.652,-43,7.75,28.4,
20190102,20181128,13:16,TANK1,low,11.485,0.57,,28.3,(ES)
20190102,20181128,13:11,TANK2,low,11.439,8.1,,28.27,(ES)
20190102,20181128,13:07,TANK3,amb,11.49,-38.8,,28.2,(ES)
20190102,20181128,13:09,TANK4,amb,11.452,-37,,28.27,(ES)
20190102,20181128,13:13,TANK5,low-variable,11.361,11.1,,28.32,(ES)
20190102,20181128,13:14,TANK6,amb,11.391,-18.5,,28.27,(ES)
20190103,20181128,10:40,TANK1,low,11.464,4.7,,28.42,(ES)
20190103,20181128,10:42,TANK2,low,11.437,8.8,,28.42,(ES)
20190103,20181128,10:38,TANK3,amb,11.476,-386,,28.41,(ES)
20190103,20181128,10:36,TANK4,amb,11.461,-38.2,,28.42,(ES)
20190103,20181128,10:44,TANK5,low-variable,11.43,6.4,,28.42,(ES)
20190103,20181128,10:33,TANK6,amb,11.467,-39.7,,28.39,(ES)
20190106,20181128,12:53,TANK1,low,11.81,3.7,,27.48,(ST)
20190106,NA,NA,TANK2,low,NA,NA,NA,NA,used in spawning
20190106,NA,NA,TANK3,amb,NA,NA,NA,NA,used in spawning
20190106,20181128,12:48,TANK4,amb,11.04,-36.9,,27.38,(ST)
20190106,20181128,12:45,TANK5,low-variable,11.6,5.9,,27.38,(ST)
20190106,20181128,12:42,TANK6,amb,11.21,-40.5,,27.33,(ST)
20190114,20180114,13:35,TANK1,low,12.34,5.6,,28.61,(ST)
20190114,20180114,13:37,TANK2,low,12.14,9.8,,28.82,(ST)
20190114,20180114,13:38,TANK3,amb,12.1,-36.2,,28.85,(ST)
20190114,20180114,13:38,TANK4,amb,12.1,-35.3,,28.81,(ST)
20190114,20180114,13:40,TANK5,low-variable,12,12.1,,28.75,(ST)
20190114,20180114,13:41,TANK6,amb,12,-36.4,,28.83,(ST)
20190121,20190121,10:00,TANK1,low,12.036,1.8,,28.31,pre-spawn
20190121,20190121,10:00,TANK2,low,11.809,4.9,,28.43,pre-spawn
20190121,20190121,10:00,TANK3,amb,12.027,-36.6,,28.46,pre-spawn
20190121,20190121,10:00,TANK4,amb,11.859,-35.4,,28.44,pre-spawn
20190121,20190121,10:00,TANK5,low-variable,11.735,-30.2,,28.45,pre-spawn
20190121,20190121,10:00,TANK6,amb,11.89,-37.3,,28.46,pre-spawn
