Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T922
Scope 1/1, Sample 1/8 (4A)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-27.5,15.2,NaN,,
0.0010,1,-28.0,15.2,0.0010,,
0.0025,2,-28.0,15.2,0.0015,,
0.0050,3,-28.1,15.2,0.0025,,
0.0090,4,-28.1,15.2,0.0035,,
0.0150,5,-27.9,15.2,0.0055,,
0.0235,6,-27.3,15.2,0.0075,,
0.0320,7,-26.3,15.2,0.0075,,
0.0395,8,-25.0,15.2,0.0075,,
0.0480,9,-23.1,15.2,0.0075,,
0.0565,10,-20.9,15.2,0.0075,,
0.0650,11,-18.4,15.2,0.0075,,
0.0735,12,-15.6,15.2,0.0075,,
0.0820,13,-13.2,15.2,0.0085,,
0.0895,14,-10.7,15.2,0.0075,,
0.0980,15,-8.2,15.2,0.0075,,
0.1060,16,-5.9,15.2,0.0075,,
0.1145,17,-3.7,15.2,0.0075,,
0.1230,18,-1.2,15.2,0.0075,,
0.1315,19,0.1,15.2,0.0085,,
0.1390,20,1.5,15.2,0.0075,,
0.1475,21,3.0,15.2,0.0075,,
0.1560,22,4.3,15.2,0.0075,,
0.1645,23,5.4,15.2,0.0075,,
0.1725,24,6.5,15.2,0.0075,,
0.1810,25,7.5,15.2,0.0075,,
0.1885,26,8.6,15.2,0.0075,,
0.1970,27,9.7,15.2,0.0075,,
0.2055,28,10.7,15.2,0.0075,,
0.2140,29,11.6,15.3,0.0075,,
0.2225,30,12.5,15.3,0.0075,,
0.2310,31,13.6,15.3,0.0075,,
0.2385,32,14.5,15.3,0.0075,,
0.2470,33,15.3,15.3,0.0075,,
0.2550,34,16.1,15.3,0.0075,,
0.2635,35,16.8,15.3,0.0075,,
0.2720,36,17.6,15.3,0.0075,,
0.2805,37,18.3,15.3,0.0085,,
0.2880,38,19.0,15.3,0.0075,,
0.2965,39,19.8,15.3,0.0075,,
0.3050,40,20.6,15.3,0.0075,,
0.3135,41,21.3,15.3,0.0075,,
0.3215,42,22.1,15.3,0.0075,,
0.3300,43,22.7,15.3,0.0085,,
0.3375,44,23.5,15.3,0.0075,,
0.3460,45,24.3,15.3,0.0075,,
0.3545,46,25.0,15.3,0.0075,,
0.3630,47,25.6,15.3,0.0075,,
0.3715,48,26.4,15.3,0.0075,,
0.3790,49,27.1,15.3,0.0075,,
0.3875,50,27.7,15.3,0.0075,,
0.3960,51,28.4,15.3,0.0075,,
0.4045,52,29.2,15.3,0.0075,,
0.4125,53,29.8,15.3,0.0075,,
0.4210,54,30.4,15.3,0.0075,,
0.4285,55,31.1,15.3,0.0075,,
0.4370,56,31.8,15.3,0.0075,,
0.4455,57,32.5,15.3,0.0075,,
0.4540,58,33.1,15.3,0.0075,,
0.4625,59,33.9,15.3,0.0075,,
0.4710,60,34.6,15.3,0.0075,,
0.4785,61,35.3,15.3,0.0075,,
0.4870,62,35.9,15.3,0.0075,,
0.4955,63,36.6,15.3,0.0075,,
0.5035,64,37.1,15.3,0.0075,,
0.5120,65,37.8,15.3,0.0075,,
