Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1092
Scope 1/1, Sample 1/3 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-24.5,12.4,NaN,,
0.0010,1,-26.4,12.4,0.0010,,
0.0025,2,-26.7,12.4,0.0015,,
0.0050,3,-27.0,12.4,0.0025,,
0.0090,4,-27.2,12.4,0.0035,,
0.0150,5,-27.3,12.4,0.0055,,
0.0235,6,-27.2,12.4,0.0075,,
0.0320,7,-26.9,12.4,0.0075,,
0.0395,8,-26.5,12.4,0.0075,,
0.0480,9,-25.9,12.4,0.0075,,
0.0565,10,-25.1,12.4,0.0075,,
0.0650,11,-24.2,12.4,0.0075,,
0.0735,12,-23.1,12.4,0.0075,,
0.0820,13,-21.8,12.4,0.0075,,
0.0900,14,-20.6,12.4,0.0080,,
0.0975,15,-19.1,12.4,0.0070,,
0.1060,16,-17.4,12.4,0.0075,,
0.1145,17,-15.5,12.4,0.0075,,
0.1230,18,-13.5,12.4,0.0075,,
0.1315,19,-11.3,12.4,0.0075,,
0.1390,20,-9.4,12.4,0.0075,,
0.1475,21,-7.1,12.4,0.0075,,
0.1560,22,-4.9,12.4,0.0075,,
0.1645,23,-2.8,12.4,0.0075,,
0.1725,24,-0.5,12.4,0.0075,,
0.1810,25,0.4,12.4,0.0075,,
0.1885,26,1.8,12.4,0.0075,,
0.1970,27,3.1,12.4,0.0075,,
0.2055,28,4.4,12.4,0.0075,,
0.2140,29,5.5,12.4,0.0075,,
0.2225,30,6.6,12.4,0.0075,,
0.2310,31,7.6,12.4,0.0075,,
0.2385,32,8.7,12.4,0.0075,,
0.2470,33,9.8,12.4,0.0075,,
0.2550,34,10.8,12.4,0.0075,,
0.2635,35,11.7,12.4,0.0075,,
0.2720,36,12.7,12.4,0.0075,,
0.2805,37,13.6,12.4,0.0075,,
0.2880,38,14.5,12.4,0.0075,,
0.2965,39,15.3,12.4,0.0075,,
0.3050,40,16.2,12.4,0.0075,,
0.3130,41,16.7,12.4,0.0075,,
0.3215,42,17.2,12.4,0.0075,,
0.3300,43,18.5,12.4,0.0075,,
0.3375,44,19.3,12.4,0.0075,,
0.3460,45,19.9,12.4,0.0075,,
0.3545,46,20.5,12.4,0.0075,,
0.3630,47,21.1,12.4,0.0075,,
0.3715,48,21.7,12.4,0.0075,,
0.3800,49,22.5,12.4,0.0075,,
0.3875,50,23.1,12.4,0.0075,,
0.3960,51,23.9,12.4,0.0075,,
0.4040,52,24.6,12.4,0.0075,,
0.4125,53,25.3,12.4,0.0075,,
0.4210,54,25.9,12.4,0.0075,,
0.4295,55,26.6,12.4,0.0085,,
0.4370,56,27.1,12.4,0.0070,,
0.4455,57,27.8,12.4,0.0075,,
0.4540,58,28.5,12.4,0.0075,,
0.4625,59,29.2,12.4,0.0075,,
0.4710,60,29.8,12.4,0.0075,,
0.4790,61,30.4,12.4,0.0080,,
0.4870,62,30.9,12.4,0.0075,,
0.4950,63,31.4,12.4,0.0075,,
0.5035,64,31.7,12.4,0.0075,,
0.5120,65,32.9,12.4,0.0075,,
0.5205,66,33.8,12.4,0.0075,,
0.5280,67,34.6,12.4,0.0075,,
0.5365,68,35.1,12.4,0.0075,,
0.5450,69,35.8,12.5,0.0075,,
0.5535,70,36.3,12.4,0.0075,,
0.5615,71,36.8,12.5,0.0075,,
0.5700,72,37.4,12.5,0.0075,,
0.5775,73,38.1,12.5,0.0070,,
0.5860,74,38.7,12.5,0.0075,,
0.5945,75,39.4,12.5,0.0075,,
0.6030,76,40.1,12.5,0.0075,,
0.6115,77,40.6,12.5,0.0075,,
0.6200,78,41.6,12.5,0.0075,,
0.6275,79,42.0,12.5,0.0075,,
0.6360,80,42.8,12.5,0.0075,,
0.6440,81,42.8,12.5,0.0075,,
0.6525,82,43.5,12.5,0.0075,,
0.6610,83,44.4,12.5,0.0075,,
0.6695,84,45.1,12.5,0.0075,,
0.6770,85,45.7,12.5,0.0075,,
0.6855,86,46.3,12.5,0.0075,,
0.6940,87,46.9,12.5,0.0075,,
0.7025,88,47.5,12.5,0.0075,,
0.7105,89,48.2,12.5,0.0075,,
0.7190,90,48.8,12.5,0.0075,,
0.7265,91,49.6,12.5,0.0075,,
0.7350,92,50.4,12.5,0.0075,,
0.7435,93,51.1,12.5,0.0075,,
0.7520,94,51.8,12.5,0.0075,,
0.7605,95,52.4,12.5,0.0075,,
0.7690,96,53.1,12.5,0.0075,,
0.7765,97,53.7,12.5,0.0075,,
0.7850,98,54.3,12.5,0.0075,,
0.7930,99,54.9,12.5,0.0075,,
0.8015,100,55.8,12.5,0.0075,,
0.8100,101,56.1,12.5,0.0075,,
0.8185,102,56.9,12.5,0.0075,,
0.8260,103,57.6,12.5,0.0075,,
0.8345,104,58.5,12.5,0.0075,,
0.8430,105,59.2,12.5,0.0075,,
0.8515,106,60.0,12.5,0.0075,,
0.8595,107,60.8,12.5,0.0075,,
0.8680,108,61.8,12.5,0.0075,,
0.8755,109,62.6,12.5,0.0075,,
0.8840,110,63.5,12.5,0.0075,,
0.8925,111,64.3,12.5,0.0075,,
0.9010,112,65.1,12.5,0.0075,,
0.9095,113,66.0,12.5,0.0075,,
0.9180,114,66.9,12.5,0.0075,,
0.9255,115,67.6,12.5,0.0075,,
0.9340,116,68.6,12.5,0.0075,,
0.9420,117,69.4,12.5,0.0075,,
0.9505,118,70.1,12.5,0.0075,,
0.9590,119,71.0,12.5,0.0075,,
0.9675,120,72.0,12.5,0.0075,,
0.9750,121,72.9,12.5,0.0070,,
0.9835,122,73.9,12.5,0.0075,,
0.9920,123,74.8,12.5,0.0075,,
1.0005,124,75.6,12.5,0.0075,,
1.0090,125,76.5,12.5,0.0075,,
1.0170,126,77.5,12.5,0.0080,,
1.0250,127,78.8,12.5,0.0075,,
1.0330,128,80.2,12.5,0.0075,,
1.0415,129,81.7,12.5,0.0075,,
1.0500,130,83.0,12.5,0.0075,,
1.0585,131,84.1,12.5,0.0075,,
1.0670,132,85.7,12.5,0.0075,,
1.0745,133,86.6,12.5,0.0070,,
1.0830,134,88.5,12.5,0.0075,,
1.0915,135,89.5,12.5,0.0075,,
1.0995,136,91.3,12.5,0.0075,,
1.1080,137,93.4,12.5,0.0075,,
1.1165,138,94.7,12.5,0.0075,,
1.1240,139,95.5,12.5,0.0075,,
1.1325,140,97.4,12.5,0.0075,,
1.1410,141,99.6,12.5,0.0075,,
1.1495,142,101.7,12.5,0.0075,,
1.1580,143,103.9,12.5,0.0075,,
1.1660,144,106.5,12.5,0.0075,,
1.1740,145,108.6,12.5,0.0075,,
1.1820,146,111.2,12.5,0.0075,,
1.1905,147,113.9,12.5,0.0075,,
1.1990,148,116.5,12.5,0.0075,,
1.2075,149,119.6,12.5,0.0075,,
1.2160,150,122.8,12.5,0.0075,,
1.2235,151,126.0,12.5,0.0075,,
1.2320,152,129.5,12.5,0.0075,,
1.2405,153,132.9,12.5,0.0075,,
1.2485,154,136.5,12.5,0.0075,,
1.2570,155,140.2,12.5,0.0075,,
1.2655,156,144.1,12.5,0.0075,,
1.2730,157,147.1,12.5,0.0075,,
1.2815,158,150.3,12.5,0.0075,,
1.2900,159,153.5,12.5,0.0075,,
1.2985,160,156.5,12.5,0.0075,,
1.3070,161,159.3,12.5,0.0075,,
1.3150,162,161.8,12.5,0.0080,,
1.3230,163,164.5,12.5,0.0080,,
1.3310,164,167.0,12.6,0.0075,,
1.3395,165,169.4,12.6,0.0075,,
1.3480,166,171.6,12.6,0.0075,,
1.3565,167,173.7,12.6,0.0075,,
1.3650,168,175.6,12.6,0.0075,,
1.3725,169,177.2,12.6,0.0075,,
1.3810,170,179.0,12.6,0.0075,,
1.3895,171,180.6,12.6,0.0075,,
1.3975,172,182.3,12.6,0.0075,,
1.4060,173,183.8,12.6,0.0075,,
1.4155,174,185.1,12.6,0.0080,,
1.4155,414,193.6,12.7,0.0000,,
1.4160,415,193.6,12.7,0.0005,,
1.4175,416,193.6,12.7,0.0010,,
1.4200,418,193.7,12.7,0.0015,,
1.4240,418,193.9,12.7,0.0080,,
1.4305,420,194.2,12.7,0.0045,,
1.4390,420,194.8,12.7,0.0170,,
1.4465,421,195.4,12.7,0.0055,,
1.4550,422,196.1,12.7,0.0060,,
1.4635,424,196.9,12.7,0.0055,,
1.4720,424,197.7,12.7,0.0170,,
1.4805,426,198.4,12.7,0.0055,,
1.4885,426,199.1,12.7,0.0200,,
1.4960,427,199.9,12.7,0.0055,,
1.5045,428,200.7,12.7,0.0060,,
1.5130,429,201.3,12.7,0.0060,,
1.5215,430,202.1,12.7,0.0055,,
1.5300,432,202.7,12.7,0.0055,,
1.5385,432,203.4,12.7,0.0210,,
1.5460,433,204.0,12.7,0.0055,,
1.5545,434,204.6,12.7,0.0060,,
1.5625,436,205.3,12.7,0.0055,,
1.5710,436,206.0,12.7,0.0170,,
1.5795,438,206.5,12.7,0.0055,,
1.5880,438,207.0,12.7,0.0170,,
1.5955,439,207.6,12.7,0.0055,,
1.6040,440,208.1,12.7,0.0060,,
1.6125,442,208.7,12.7,0.0055,,
1.6210,442,209.2,12.7,0.0170,,
1.6290,444,209.7,12.7,0.0055,,
1.6375,444,210.2,12.7,0.0210,,
1.6450,445,210.7,12.7,0.0055,,
1.6535,446,211.2,12.7,0.0060,,
1.6620,448,211.7,12.7,0.0055,,
1.6705,448,212.3,12.7,0.0170,,
1.6790,450,212.7,12.7,0.0055,,
1.6875,450,213.2,12.7,0.0170,,
1.6950,451,213.5,12.7,0.0055,,
1.7035,452,214.0,12.7,0.0060,,
1.7115,453,214.4,12.7,0.0055,,
1.7200,454,214.8,12.7,0.0055,,
1.7285,456,215.3,12.8,0.0055,,
1.7370,456,215.7,12.7,0.0170,,
1.7445,457,216.1,12.8,0.0055,,
1.7530,458,216.5,12.7,0.0060,,
1.7615,460,216.9,12.7,0.0055,,
1.7700,460,217.3,12.7,0.0170,,
1.7780,462,217.7,12.7,0.0055,,
1.7865,462,218.0,12.8,0.0170,,
1.7940,463,218.4,12.8,0.0055,,
1.8025,464,218.7,12.8,0.0060,,
1.8110,465,219.1,12.8,0.0060,,
1.8195,466,219.4,12.7,0.0055,,
1.8280,468,219.8,12.8,0.0055,,
1.8365,468,220.2,12.8,0.0170,,
1.8440,469,220.6,12.8,0.0055,,
1.8525,470,220.9,12.8,0.0060,,
1.8605,471,221.2,12.8,0.0055,,
1.8690,472,221.5,12.8,0.0055,,
1.8775,474,221.8,12.8,0.0055,,
1.8860,474,222.1,12.8,0.0170,,
1.8935,475,222.4,12.8,0.0055,,
1.9020,476,222.7,12.8,0.0060,,
1.9105,478,223.1,12.8,0.0055,,
1.9190,478,223.4,12.8,0.0170,,
1.9270,480,223.7,12.8,0.0055,,
1.9355,480,224.0,12.8,0.0210,,
1.9430,481,224.2,12.8,0.0055,,
1.9515,482,224.6,12.8,0.0060,,
1.9600,484,224.9,12.8,0.0055,,
1.9685,484,225.2,12.8,0.0170,,
1.9770,486,225.5,12.8,0.0055,,
1.9845,486,225.7,12.8,0.0185,,
1.9930,487,226.0,12.8,0.0060,,
2.0015,488,226.2,12.8,0.0060,,
2.0100,490,226.5,12.8,0.0055,,
2.0180,490,226.8,12.8,0.0160,,
2.0265,492,227.0,12.8,0.0055,,
2.0340,492,227.2,12.8,0.0185,,
2.0425,493,227.5,12.8,0.0060,,
2.0510,494,227.8,12.8,0.0060,,
2.0595,496,228.0,12.8,0.0055,,
2.0680,496,228.2,12.8,0.0170,,
2.0765,498,228.5,12.8,0.0055,,
2.0840,498,228.7,12.8,0.0185,,
2.0925,499,229.0,12.8,0.0060,,
2.1010,500,229.2,12.8,0.0055,,
2.1090,502,229.4,12.8,0.0055,,
2.1175,502,229.7,12.8,0.0170,,
2.1260,504,229.9,12.8,0.0055,,
2.1335,504,230.1,12.8,0.0185,,
2.1420,505,230.4,12.8,0.0060,,
2.1505,506,230.5,12.8,0.0055,,
2.1590,508,230.8,12.8,0.0055,,
2.1675,508,231.0,12.8,0.0170,,
2.1755,509,231.2,12.8,0.0055,,
2.1835,510,231.5,12.8,0.0055,,
2.1915,511,231.7,12.8,0.0055,,
2.2000,512,231.9,12.8,0.0055,,
2.2085,514,232.1,12.8,0.0055,,
2.2170,514,232.4,12.8,0.0170,,
2.2255,515,232.5,12.8,0.0060,,
2.2330,516,232.7,12.8,0.0055,,
2.2415,517,232.9,12.8,0.0060,,
2.2500,518,233.2,12.8,0.0055,,
2.2580,520,233.3,12.8,0.0055,,
2.2665,520,233.5,12.8,0.0170,,
2.2750,521,233.7,12.8,0.0060,,
2.2825,522,233.9,12.8,0.0055,,
2.2910,523,234.1,12.8,0.0060,,
2.2990,524,234.3,12.8,0.0055,,
2.3045,526,234.5,12.8,0.0035,,
2.3065,526,234.6,12.8,0.0040,,
2.3075,527,234.7,12.8,0.0005,,
2.3080,528,234.8,12.8,0.0005,,
2.3095,529,234.9,12.8,0.0010,,
2.3110,530,234.9,12.8,0.0010,,
2.3140,532,235.0,12.8,0.0020,,
2.3170,532,233.9,12.8,0.0060,,
2.3170,533,234.3,12.8,0.0000,,
2.3175,534,234.6,12.8,0.0005,,
2.3180,535,234.9,12.8,0.0005,,
2.3180,536,235.0,12.8,0.0000,,
Scope 1/1, Sample 2/3 (CRM1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-27.3,14.0,NaN,,
0.0010,1,-28.4,14.0,0.0010,,
0.0025,2,-28.7,14.0,0.0015,,
