Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1136
Scope 1/1, Sample 1/3 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-61.4,14.7,NaN,,
0.0010,1,-61.5,14.7,0.0010,,
0.0025,2,-61.5,14.7,0.0015,,
0.0050,3,-61.4,14.7,0.0025,,
0.0085,4,-61.3,14.7,0.0030,,
0.0150,5,-60.8,14.7,0.0060,,
0.0230,6,-59.7,14.7,0.0075,,
0.0315,7,-58.0,14.7,0.0075,,
0.0400,8,-56.2,14.7,0.0075,,
0.0475,9,-54.4,14.7,0.0075,,
0.0560,10,-51.9,14.7,0.0075,,
0.0645,11,-49.3,14.7,0.0075,,
0.0730,12,-46.7,14.7,0.0075,,
0.0810,13,-43.6,14.7,0.0075,,
0.0895,14,-40.1,14.7,0.0075,,
0.0970,15,-36.9,14.7,0.0075,,
0.1055,16,-32.8,14.7,0.0075,,
0.1140,17,-28.2,14.7,0.0075,,
0.1225,18,-23.0,14.7,0.0075,,
0.1310,19,-17.3,14.7,0.0075,,
0.1395,20,-11.6,14.7,0.0075,,
0.1470,21,-6.7,14.7,0.0070,,
0.1555,22,-1.4,14.7,0.0075,,
0.1635,23,2.3,14.7,0.0075,,
0.1720,24,5.5,14.7,0.0075,,
0.1805,25,7.7,14.7,0.0075,,
0.1890,26,9.7,14.7,0.0075,,
0.1965,27,11.2,14.7,0.0070,,
0.2050,28,12.8,14.7,0.0075,,
0.2135,29,14.5,14.7,0.0075,,
0.2220,30,15.8,14.8,0.0075,,
0.2300,31,16.7,14.8,0.0075,,
0.2385,32,17.9,14.8,0.0075,,
0.2460,33,19.0,14.8,0.0070,,
0.2545,34,20.3,14.8,0.0075,,
0.2630,35,21.4,14.8,0.0075,,
0.2715,36,22.1,14.8,0.0075,,
0.2800,37,23.1,14.8,0.0075,,
0.2885,38,23.9,14.8,0.0075,,
0.2960,39,24.6,14.8,0.0075,,
0.3045,40,25.2,14.8,0.0075,,
0.3125,41,26.0,14.8,0.0075,,
0.3210,42,26.5,14.8,0.0075,,
0.3295,43,27.3,14.8,0.0075,,
0.3380,44,28.3,14.8,0.0075,,
0.3455,45,29.2,14.8,0.0070,,
0.3540,46,30.0,14.8,0.0075,,
0.3625,47,31.2,14.8,0.0075,,
0.3710,48,31.9,14.8,0.0075,,
0.3795,49,32.6,14.8,0.0075,,
0.3875,50,33.3,14.8,0.0080,,
0.3955,51,33.9,14.8,0.0075,,
0.4035,52,34.8,14.8,0.0075,,
0.4120,53,36.0,14.8,0.0075,,
0.4205,54,36.1,14.8,0.0075,,
0.4290,55,36.7,14.8,0.0075,,
0.4365,56,37.5,14.8,0.0075,,
0.4450,57,38.4,14.8,0.0075,,
0.4535,58,39.2,14.8,0.0075,,
0.4620,59,40.1,14.8,0.0075,,
0.4705,60,40.9,14.8,0.0075,,
0.4785,61,41.6,14.8,0.0075,,
0.4865,62,42.2,14.8,0.0075,,
0.4945,63,42.7,14.8,0.0075,,
0.5030,64,43.6,14.8,0.0075,,
0.5115,65,43.8,14.8,0.0075,,
0.5200,66,44.8,14.8,0.0075,,
0.5285,67,45.7,14.8,0.0075,,
