Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1158
Scope 1/1, Sample 1/3 (Junk2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,0.7,15.9,NaN,,
0.0010,1,0.6,15.9,0.0010,,
0.0025,2,0.6,15.9,0.0015,,
0.0050,3,0.7,15.9,0.0025,,
0.0090,4,1.1,15.9,0.0035,,
0.0150,5,2.2,15.9,0.0055,,
0.0235,6,4.3,15.9,0.0075,,
0.0320,7,6.6,15.9,0.0075,,
0.0405,8,8.4,15.9,0.0085,,
0.0480,9,10.6,15.9,0.0070,,
0.0565,10,12.5,15.9,0.0075,,
0.0650,11,14.1,15.9,0.0075,,
0.0735,12,15.2,15.9,0.0075,,
0.0820,13,16.2,15.9,0.0075,,
0.0895,14,17.0,15.9,0.0075,,
0.0980,15,17.7,15.9,0.0075,,
0.1060,16,18.4,15.9,0.0075,,
0.1145,17,19.2,15.9,0.0075,,
0.1230,18,20.0,15.9,0.0075,,
0.1315,19,20.7,15.9,0.0075,,
0.1390,20,21.4,15.9,0.0075,,
0.1475,21,22.1,15.9,0.0075,,
0.1560,22,22.8,15.9,0.0075,,
0.1645,23,23.6,15.9,0.0075,,
0.1725,24,24.3,15.9,0.0075,,
0.1810,25,24.9,15.9,0.0075,,
0.1885,26,25.4,15.9,0.0070,,
0.1970,27,26.0,15.9,0.0075,,
0.2055,28,26.6,15.9,0.0075,,
0.2140,29,27.3,15.9,0.0075,,
0.2225,30,28.0,15.9,0.0075,,
0.2310,31,28.7,15.9,0.0075,,
0.2385,32,29.4,15.9,0.0070,,
0.2470,33,29.9,15.9,0.0075,,
0.2555,34,30.6,15.9,0.0075,,
0.2635,35,31.2,15.9,0.0075,,
0.2720,36,31.9,15.9,0.0075,,
0.2795,37,32.4,15.9,0.0075,,
0.2880,38,32.9,15.9,0.0075,,
0.2965,39,33.5,15.9,0.0075,,
0.3050,40,34.1,15.9,0.0075,,
0.3135,41,34.7,15.9,0.0075,,
0.3220,42,35.3,15.9,0.0075,,
0.3300,43,35.9,15.9,0.0080,,
0.3380,44,36.5,15.9,0.0075,,
0.3460,45,37.3,15.9,0.0075,,
0.3545,46,37.9,15.9,0.0075,,
0.3630,47,38.5,15.9,0.0075,,
0.3715,48,39.1,15.9,0.0075,,
0.3800,49,39.6,15.9,0.0085,,
0.3875,50,40.3,15.9,0.0070,,
0.3960,51,40.8,15.9,0.0075,,
0.4045,52,41.4,15.9,0.0075,,
0.4130,53,42.2,15.9,0.0075,,
0.4210,54,42.8,15.9,0.0075,,
0.4290,55,43.3,15.9,0.0080,,
