Method Data
Method name,Panopea
Method ID,007
Method version,5
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1159
Scope 1/1, Sample 1/6 (Tank3)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-42.6,16.5,NaN,,
0.0005,1,-42.7,16.5,0.0005,,
0.0025,2,-42.6,16.5,0.0020,,
0.0050,3,-42.5,16.5,0.0025,,
0.0090,4,-42.2,16.5,0.0035,,
0.0150,5,-41.4,16.5,0.0055,,
0.0235,6,-39.7,16.5,0.0075,,
0.0310,7,-37.1,16.5,0.0075,,
0.0395,8,-33.6,16.5,0.0085,,
0.0480,9,-29.2,16.5,0.0075,,
0.0565,10,-24.3,16.5,0.0075,,
0.0650,11,-19.0,16.5,0.0075,,
0.0735,12,-14.3,16.5,0.0085,,
0.0810,13,-9.6,16.5,0.0075,,
0.0895,14,-5.6,16.5,0.0085,,
0.0975,15,-1.6,16.5,0.0075,,
0.1060,16,0.7,16.5,0.0075,,
0.1145,17,2.5,16.5,0.0075,,
0.1230,18,4.0,16.5,0.0085,,
0.1305,19,5.6,16.5,0.0075,,
0.1390,20,6.9,16.5,0.0085,,
0.1475,21,8.3,16.5,0.0075,,
0.1560,22,9.6,16.5,0.0075,,
0.1645,23,10.8,16.5,0.0075,,
0.1725,24,11.8,16.5,0.0080,,
0.1805,25,12.6,16.5,0.0080,,
0.1885,26,13.4,16.6,0.0080,,
0.1970,27,14.3,16.5,0.0075,,
0.2055,28,15.1,16.6,0.0075,,
0.2140,29,16.0,16.6,0.0075,,
0.2215,30,16.7,16.6,0.0075,,
0.2300,31,17.4,16.6,0.0085,,
0.2385,32,18.1,16.6,0.0085,,
0.2470,33,19.0,16.6,0.0075,,
0.2550,34,19.9,16.6,0.0075,,
0.2635,35,20.7,16.6,0.0075,,
0.2710,36,21.6,16.6,0.0075,,
0.2795,37,22.3,16.6,0.0085,,
0.2880,38,23.1,16.6,0.0085,,
0.2965,39,23.8,16.6,0.0075,,
0.3050,40,24.6,16.6,0.0075,,
0.3135,41,25.4,16.6,0.0075,,
0.3210,42,26.2,16.6,0.0075,,
0.3295,43,26.9,16.6,0.0085,,
0.3380,44,27.7,16.6,0.0075,,
0.3460,45,28.6,16.6,0.0075,,
0.3545,46,29.4,16.6,0.0075,,
0.3630,47,30.1,16.6,0.0075,,
0.3705,48,30.9,16.6,0.0075,,
0.3790,49,31.4,16.6,0.0085,,
0.3875,50,32.3,16.6,0.0075,,
0.3960,51,32.9,16.6,0.0075,,
0.4045,52,33.5,16.6,0.0075,,
0.4125,53,34.2,16.6,0.0075,,
0.4205,54,34.9,16.6,0.0080,,
0.4285,55,35.6,16.6,0.0080,,
0.4370,56,36.4,16.6,0.0075,,
0.4455,57,37.1,16.6,0.0075,,
0.4540,58,37.8,16.6,0.0075,,
0.4625,59,38.6,16.6,0.0075,,
0.4700,60,39.3,16.6,0.0075,,
0.4785,61,40.1,16.6,0.0085,,
0.4870,62,40.9,16.6,0.0075,,
0.4950,63,41.5,16.6,0.0075,,
0.5035,64,42.2,16.6,0.0075,,
0.5120,65,42.8,16.6,0.0085,,
0.5195,66,43.5,16.6,0.0075,,
0.5280,67,44.2,16.6,0.0085,,
0.5365,68,45.0,16.6,0.0075,,
0.5450,69,45.6,16.6,0.0075,,
0.5535,70,46.4,16.6,0.0075,,
0.5620,71,47.1,16.6,0.0085,,
0.5695,72,47.8,16.6,0.0075,,
0.5780,73,48.6,16.6,0.0085,,
0.5860,74,49.4,16.6,0.0075,,
0.5945,75,50.0,16.6,0.0075,,
0.6030,76,51.2,16.6,0.0075,,
0.6105,77,51.8,16.6,0.0075,,
0.6190,78,52.3,16.6,0.0085,,
0.6275,79,53.0,16.6,0.0085,,
0.6360,80,53.8,16.6,0.0075,,
0.6445,81,54.4,16.6,0.0075,,
0.6525,82,55.1,16.6,0.0075,,
0.6605,83,55.6,16.6,0.0080,,
0.6685,84,56.4,16.6,0.0080,,
0.6770,85,57.2,16.6,0.0075,,
0.6855,86,58.0,16.6,0.0075,,
0.6940,87,58.8,16.6,0.0075,,
0.7025,88,59.6,16.6,0.0075,,
0.7100,89,60.4,16.6,0.0075,,
0.7185,90,61.3,16.6,0.0085,,
0.7270,91,62.1,16.6,0.0075,,
0.7355,92,62.9,16.6,0.0075,,
0.7435,93,63.8,16.6,0.0075,,
0.7520,94,64.8,16.6,0.0075,,
0.7595,95,65.4,16.6,0.0075,,
0.7680,96,66.1,16.6,0.0085,,
0.7765,97,66.9,16.6,0.0075,,
0.7850,98,67.6,16.6,0.0075,,
0.7935,99,68.6,16.6,0.0075,,
0.8020,100,69.6,16.6,0.0075,,
0.8095,101,70.3,16.6,0.0075,,
0.8180,102,71.1,16.6,0.0085,,
0.8260,103,72.3,16.6,0.0075,,
0.8345,104,73.2,16.6,0.0075,,
0.8430,105,73.9,16.6,0.0075,,
0.8515,106,75.0,16.6,0.0075,,
0.8590,107,76.0,16.6,0.0075,,
0.8675,108,77.2,16.6,0.0085,,
0.8760,109,78.2,16.6,0.0075,,
0.8845,110,79.2,16.6,0.0075,,
0.8930,111,80.3,16.6,0.0075,,
0.9010,112,81.2,16.6,0.0080,,
0.9090,113,82.1,16.6,0.0080,,
0.9170,114,83.4,16.6,0.0080,,
0.9255,115,84.5,16.6,0.0075,,
0.9340,116,85.8,16.6,0.0075,,
0.9425,117,87.1,16.6,0.0075,,
0.9510,118,88.2,16.6,0.0085,,
0.9585,119,89.7,16.6,0.0075,,
0.9670,120,90.8,16.6,0.0085,,
0.9755,121,92.3,16.6,0.0075,,
0.9835,122,93.8,16.6,0.0075,,
0.9920,123,95.2,16.6,0.0075,,
0.9995,124,96.9,16.6,0.0075,,
1.0080,125,98.6,16.6,0.0085,,
1.0165,126,100.1,16.6,0.0075,,
1.0250,127,101.8,16.6,0.0075,,
1.0335,128,103.9,16.6,0.0075,,
1.0420,129,105.9,16.6,0.0075,,
1.0495,130,107.9,16.6,0.0075,,
1.0580,131,110.4,16.6,0.0085,,
1.0660,132,112.4,16.6,0.0080,,
1.0745,133,114.7,16.6,0.0075,,
1.0830,134,117.1,16.6,0.0075,,
1.0915,135,120.1,16.6,0.0075,,
1.0990,136,122.4,16.6,0.0075,,
1.1075,137,125.5,16.6,0.0085,,
1.1160,138,128.5,16.6,0.0085,,
1.1245,139,131.9,16.6,0.0075,,
1.1325,140,135.7,16.6,0.0075,,
1.1410,141,139.2,16.6,0.0075,,
1.1495,142,142.4,16.6,0.0085,,
1.1570,143,146.3,16.6,0.0075,,
1.1655,144,150.0,16.6,0.0085,,
1.1740,145,153.3,16.6,0.0075,,
1.1825,146,156.3,16.6,0.0075,,
1.1910,147,159.3,16.6,0.0075,,
1.1985,148,162.0,16.6,0.0075,,
1.2070,149,164.6,16.6,0.0085,,
1.2150,150,167.1,16.6,0.0080,,
1.2235,151,169.6,16.6,0.0075,,
1.2320,152,171.9,16.6,0.0075,,
1.2405,153,174.1,16.6,0.0075,,
1.2480,154,175.9,16.6,0.0075,,
1.2565,155,177.7,16.6,0.0085,,
1.2650,156,179.4,16.6,0.0085,,
1.2735,157,181.0,16.6,0.0075,,
1.2820,158,182.4,16.6,0.0075,,
1.2900,159,183.8,16.6,0.0075,,
1.3000,160,185.2,16.6,0.0075,,
1.3000,400,187.3,16.7,0.0000,,
1.3005,401,187.3,16.7,0.0005,,
1.3020,402,187.3,16.7,0.0010,,
1.3045,404,187.4,16.7,0.0015,,
1.3085,404,187.7,16.7,0.0080,,
1.3150,406,188.3,16.7,0.0045,,
1.3235,406,189.2,16.7,0.0170,,
1.3310,407,190.1,16.7,0.0055,,
1.3395,408,191.1,16.7,0.0060,,
1.3480,410,192.1,16.7,0.0055,,
1.3565,410,193.1,16.7,0.0170,,
1.3650,412,194.2,16.7,0.0055,,
1.3730,412,195.0,16.7,0.0200,,
1.3805,413,195.8,16.7,0.0055,,
1.3890,414,196.7,16.7,0.0060,,
1.3975,416,197.5,16.7,0.0055,,
1.4060,416,198.3,16.7,0.0170,,
1.4145,418,199.1,16.7,0.0055,,
1.4230,418,199.8,16.7,0.0210,,
1.4305,419,200.6,16.7,0.0055,,
1.4390,420,201.3,16.7,0.0060,,
1.4475,422,202.0,16.7,0.0055,,
1.4555,422,202.7,16.7,0.0160,,
1.4640,424,203.3,16.7,0.0055,,
1.4715,424,203.9,16.7,0.0185,,
1.4800,425,204.5,16.7,0.0060,,
1.4885,426,205.1,16.7,0.0060,,
1.4970,428,205.7,16.7,0.0055,,
1.5055,428,206.4,16.7,0.0170,,
1.5140,430,206.9,16.7,0.0055,,
1.5215,430,207.4,16.7,0.0185,,
1.5300,431,207.9,16.7,0.0060,,
1.5385,432,208.4,16.7,0.0055,,
1.5465,434,209.0,16.7,0.0055,,
1.5550,434,209.5,16.7,0.0170,,
1.5635,435,210.0,16.7,0.0060,,
1.5710,436,210.5,16.7,0.0055,,
1.5795,437,211.0,16.7,0.0060,,
1.5880,438,211.5,16.7,0.0055,,
1.5965,440,211.9,16.7,0.0055,,
1.6050,440,212.4,16.7,0.0170,,
1.6130,441,212.9,16.7,0.0055,,
1.6210,442,213.3,16.7,0.0055,,
1.6290,443,213.7,16.7,0.0055,,
1.6375,444,214.1,16.7,0.0055,,
1.6460,446,214.6,16.7,0.0055,,
1.6545,446,214.9,16.7,0.0170,,
1.6630,447,215.4,16.7,0.0060,,
1.6705,448,215.8,16.7,0.0055,,
1.6790,449,216.1,16.7,0.0060,,
1.6875,450,216.6,16.7,0.0055,,
1.6960,452,216.9,16.7,0.0055,,
