Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1274
Scope 1/1, Sample 1/5 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-61.1,17.8,NaN,,
0.0005,1,-61.1,17.8,0.0005,,
0.0025,2,-61.1,17.8,0.0020,,
0.0050,3,-60.9,17.8,0.0025,,
0.0090,4,-60.4,17.8,0.0035,,
0.0150,5,-59.4,17.8,0.0055,,
0.0235,6,-57.8,17.8,0.0075,,
0.0310,7,-56.6,17.8,0.0075,,
0.0395,8,-54.8,17.8,0.0085,,
0.0480,9,-52.7,17.8,0.0075,,
0.0565,10,-50.5,17.8,0.0075,,
0.0650,11,-48.0,17.8,0.0075,,
0.0725,12,-45.8,17.8,0.0075,,
0.0810,13,-43.2,17.8,0.0085,,
0.0895,14,-40.1,17.8,0.0075,,
0.0980,15,-36.5,17.8,0.0075,,
0.1065,16,-32.9,17.8,0.0075,,
0.1145,17,-29.1,17.8,0.0075,,
0.1225,18,-24.9,17.8,0.0080,,
0.1305,19,-20.6,17.8,0.0080,,
0.1390,20,-15.8,17.8,0.0075,,
0.1475,21,-10.7,17.8,0.0075,,
0.1560,22,-6.1,17.8,0.0075,,
0.1645,23,-2.1,17.8,0.0085,,
0.1720,24,1.0,17.8,0.0075,,
0.1805,25,3.2,17.8,0.0085,,
0.1890,26,6.4,17.8,0.0075,,
0.1975,27,9.3,17.8,0.0075,,
0.2055,28,12.2,17.8,0.0075,,
0.2135,29,14.3,17.8,0.0080,,
0.2215,30,16.0,17.8,0.0080,,
0.2300,31,18.7,17.8,0.0075,,
0.2385,32,19.6,17.8,0.0075,,
0.2470,33,20.3,17.8,0.0075,,
0.2555,34,22.0,17.8,0.0075,,
0.2630,35,22.5,17.8,0.0075,,
0.2715,36,24.1,17.8,0.0085,,
0.2800,37,24.9,17.8,0.0085,,
0.2880,38,26.3,17.8,0.0075,,
0.2965,39,27.4,17.8,0.0075,,
0.3050,40,27.8,17.8,0.0075,,
0.3125,41,28.6,17.8,0.0075,,
0.3210,42,30.0,17.8,0.0085,,
0.3295,43,30.4,17.8,0.0075,,
0.3380,44,31.3,17.8,0.0075,,
0.3465,45,32.3,17.8,0.0075,,
0.3550,46,33.3,17.8,0.0075,,
0.3625,47,34.2,17.8,0.0075,,
0.3710,48,34.4,17.8,0.0085,,
0.3790,49,35.9,17.8,0.0075,,
0.3875,50,36.8,17.8,0.0075,,
0.3960,51,36.6,17.8,0.0075,,
0.4045,52,37.2,17.8,0.0085,,
0.4120,53,38.1,17.8,0.0075,,
0.4205,54,39.0,17.8,0.0085,,
0.4290,55,39.3,17.8,0.0075,,
0.4375,56,40.6,17.8,0.0075,,
0.4455,57,43.3,17.8,0.0075,,
0.4535,58,43.3,17.8,0.0080,,
0.4620,59,42.3,17.8,0.0085,,
0.4700,60,42.5,17.8,0.0080,,
0.4785,61,42.6,17.8,0.0075,,
0.4870,62,42.9,17.8,0.0075,,
0.4955,63,44.9,17.8,0.0075,,
0.5030,64,46.0,17.8,0.0075,,
0.5115,65,47.0,17.8,0.0085,,
0.5200,66,47.8,17.8,0.0075,,
0.5285,67,49.0,17.8,0.0075,,
0.5370,68,51.5,17.8,0.0075,,
0.5450,69,51.9,17.8,0.0075,,
0.5530,70,53.1,17.8,0.0080,,
0.5610,71,53.3,17.8,0.0080,,
0.5695,72,53.4,17.8,0.0075,,
0.5780,73,53.3,17.8,0.0075,,
0.5865,74,53.2,17.8,0.0075,,
0.5950,75,54.7,17.8,0.0085,,
0.6025,76,54.2,17.8,0.0075,,
0.6110,77,55.4,17.8,0.0085,,
0.6195,78,56.0,17.8,0.0075,,
0.6275,79,55.9,17.8,0.0075,,
0.6360,80,57.0,17.8,0.0075,,
0.6445,81,58.7,17.8,0.0085,,
0.6520,82,60.5,17.8,0.0075,,
0.6605,83,61.1,17.8,0.0085,,
0.6690,84,61.1,17.8,0.0075,,
0.6775,85,60.8,17.8,0.0075,,
0.6860,86,60.7,17.8,0.0075,,
0.6935,87,60.6,17.8,0.0075,,
0.7020,88,62.0,17.8,0.0085,,
0.7105,89,63.9,17.8,0.0085,,
0.7185,90,63.7,17.8,0.0075,,
0.7270,91,64.7,17.8,0.0075,,
0.7355,92,65.6,17.8,0.0075,,
0.7430,93,67.0,17.8,0.0075,,
0.7515,94,67.4,17.8,0.0085,,
0.7600,95,68.0,17.8,0.0085,,
0.7685,96,68.7,17.8,0.0075,,
0.7770,97,69.0,17.8,0.0075,,
0.7850,98,69.5,17.8,0.0075,,
0.7930,99,70.3,17.8,0.0080,,
0.8015,100,71.2,17.8,0.0085,,
0.8095,101,71.1,17.8,0.0075,,
0.8180,102,73.5,17.8,0.0075,,
0.8265,103,75.3,17.8,0.0075,,
0.8350,104,74.8,17.8,0.0075,,
0.8425,105,75.2,17.8,0.0075,,
0.8510,106,75.3,17.8,0.0085,,
0.8595,107,75.5,17.8,0.0075,,
0.8680,108,76.4,17.8,0.0075,,
0.8760,109,77.9,17.8,0.0075,,
0.8845,110,79.3,17.8,0.0085,,
0.8920,111,80.0,17.8,0.0075,,
0.9005,112,80.5,17.8,0.0085,,
0.9090,113,81.5,17.8,0.0075,,
0.9175,114,82.9,17.8,0.0075,,
0.9260,115,83.2,17.8,0.0075,,
0.9345,116,84.0,17.8,0.0085,,
0.9420,117,85.7,17.8,0.0075,,
0.9505,118,86.1,17.8,0.0085,,
0.9590,119,87.2,17.8,0.0075,,
0.9670,120,88.0,17.8,0.0075,,
0.9755,121,88.3,17.8,0.0075,,
0.9840,122,88.6,17.8,0.0085,,
0.9915,123,90.1,17.8,0.0075,,
1.0000,124,90.9,17.8,0.0085,,
1.0085,125,91.8,17.8,0.0075,,
1.0170,126,93.0,17.8,0.0075,,
1.0255,127,93.3,17.8,0.0075,,
1.0330,128,94.3,17.8,0.0075,,
1.0415,129,96.8,17.8,0.0085,,
1.0495,130,96.9,17.8,0.0080,,
1.0580,131,98.1,17.8,0.0075,,
1.0665,132,99.5,17.8,0.0075,,
1.0750,133,100.9,17.8,0.0075,,
1.0825,134,101.3,17.8,0.0075,,
1.0910,135,102.0,17.8,0.0085,,
1.0995,136,104.1,17.8,0.0085,,
1.1080,137,105.1,17.8,0.0075,,
1.1160,138,106.0,17.8,0.0075,,
1.1245,139,107.0,17.8,0.0075,,
1.1320,140,109.1,17.8,0.0075,,
1.1405,141,109.7,17.8,0.0085,,
1.1490,142,112.0,17.8,0.0085,,
1.1575,143,114.1,17.8,0.0075,,
1.1660,144,116.7,17.8,0.0075,,
1.1745,145,117.9,17.8,0.0075,,
1.1820,146,119.4,17.8,0.0075,,
1.1905,147,121.5,17.8,0.0085,,
1.1990,148,124.6,17.8,0.0075,,
1.2070,149,127.8,17.8,0.0075,,
1.2155,150,130.3,17.8,0.0075,,
1.2240,151,133.5,17.8,0.0075,,
1.2315,152,136.9,17.8,0.0075,,
1.2400,153,138.9,17.8,0.0085,,
1.2485,154,142.9,17.8,0.0085,,
1.2570,155,145.4,17.8,0.0075,,
1.2655,156,146.7,17.8,0.0075,,
1.2735,157,150.3,17.8,0.0075,,
1.2815,158,153.6,17.8,0.0080,,
1.2895,159,156.6,17.8,0.0080,,
1.2980,160,159.4,17.8,0.0075,,
1.3065,161,161.6,17.8,0.0075,,
1.3150,162,165.5,17.8,0.0075,,
1.3235,163,166.7,17.8,0.0075,,
1.3310,164,169.4,17.8,0.0075,,
1.3395,165,171.3,17.8,0.0085,,
1.3480,166,173.3,17.8,0.0085,,
1.3560,167,175.0,17.8,0.0075,,
1.3645,168,176.8,17.8,0.0075,,
1.3730,169,178.4,17.8,0.0075,,
1.3805,170,180.0,17.8,0.0075,,
1.3890,171,181.2,17.8,0.0085,,
1.3975,172,182.7,17.8,0.0085,,
1.4060,173,183.9,17.9,0.0075,,
1.4145,174,185.2,17.8,0.0075,,
1.4145,414,186.6,17.9,0.0000,,
1.4150,415,186.5,17.9,0.0005,,
1.4165,416,186.5,17.9,0.0010,,
1.4190,417,186.7,17.9,0.0020,,
1.4230,418,187.3,17.9,0.0030,,
1.4295,419,187.8,17.9,0.0050,,
1.4380,420,188.8,17.9,0.0070,,
1.4455,421,190.0,17.9,0.0060,,
1.4540,422,191.2,17.9,0.0070,,
1.4625,423,192.0,17.9,0.0065,,
1.4705,424,192.8,17.9,0.0060,,
1.4790,425,193.7,17.9,0.0065,,
1.4865,426,194.9,17.9,0.0060,,
1.4950,427,195.6,17.9,0.0070,,
1.5035,428,196.4,17.9,0.0070,,
1.5120,429,197.1,17.9,0.0065,,
1.5205,430,197.9,17.9,0.0065,,
1.5290,431,198.7,17.9,0.0065,,
1.5365,432,199.4,17.9,0.0060,,
1.5450,433,200.2,17.9,0.0070,,
1.5530,434,200.9,17.9,0.0065,,
1.5615,435,201.4,17.9,0.0065,,
1.5700,436,202.2,17.9,0.0065,,
1.5785,437,202.8,17.9,0.0065,,
1.5870,438,203.4,17.9,0.0070,,
1.5945,439,203.9,17.9,0.0060,,
1.6030,440,204.7,17.9,0.0070,,
1.6115,441,205.1,17.9,0.0065,,
1.6195,442,205.6,17.9,0.0060,,
1.6280,443,206.2,17.9,0.0065,,
1.6355,444,206.8,17.9,0.0060,,
1.6440,445,207.2,17.9,0.0070,,
1.6525,446,208.0,17.9,0.0070,,
1.6610,447,208.4,17.9,0.0065,,
1.6695,448,208.8,17.9,0.0065,,
1.6780,449,209.3,17.9,0.0065,,
1.6855,450,209.7,17.9,0.0060,,
1.6940,451,210.4,17.9,0.0070,,
1.7020,452,210.8,17.9,0.0065,,
1.7105,453,211.3,17.9,0.0065,,
1.7190,454,211.8,17.9,0.0065,,
1.7275,455,212.2,17.9,0.0065,,
1.7350,456,212.6,17.9,0.0060,,
1.7435,457,213.0,17.9,0.0070,,
1.7520,458,213.5,17.9,0.0070,,
1.7605,459,213.9,17.9,0.0065,,
1.7685,460,214.1,17.9,0.0060,,
1.7770,461,214.6,17.9,0.0065,,
1.7845,462,215.0,17.9,0.0060,,
1.7930,463,215.4,17.9,0.0070,,
1.8015,464,215.8,17.9,0.0070,,
1.8100,465,216.2,17.9,0.0065,,
1.8185,466,216.5,17.9,0.0065,,
