Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1970
Scope 1/1, Sample 1/7 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-52.9,19.0,NaN,,
0.0010,1,-53.3,19.0,0.0010,,
0.0025,2,-53.4,19.0,0.0015,,
0.0050,3,-53.4,19.0,0.0025,,
0.0090,4,-53.4,19.0,0.0035,,
0.0150,5,-53.1,19.0,0.0055,,
0.0235,6,-52.5,19.0,0.0075,,
0.0320,7,-51.7,19.0,0.0075,,
0.0405,8,-50.7,19.0,0.0085,,
0.0480,9,-49.4,19.0,0.0075,,
0.0565,10,-48.2,19.0,0.0075,,
0.0650,11,-46.9,19.0,0.0075,,
0.0730,12,-45.3,19.0,0.0075,,
0.0815,13,-43.6,19.0,0.0075,,
0.0900,14,-42.0,19.0,0.0085,,
0.0975,15,-40.0,19.0,0.0070,,
0.1060,16,-37.9,19.0,0.0075,,
0.1145,17,-35.7,19.0,0.0075,,
0.1230,18,-33.3,19.0,0.0075,,
0.1315,19,-30.8,19.0,0.0075,,
0.1390,20,-28.4,19.0,0.0075,,
0.1475,21,-25.9,19.0,0.0075,,
0.1560,22,-23.3,19.0,0.0075,,
0.1640,23,-20.7,19.0,0.0075,,
0.1725,24,-18.2,19.0,0.0075,,
0.1810,25,-16.1,19.0,0.0075,,
0.1885,26,-14.3,19.0,0.0075,,
0.1970,27,-12.5,19.0,0.0075,,
0.2055,28,-10.7,19.0,0.0075,,
0.2140,29,-9.1,19.0,0.0075,,
0.2225,30,-7.6,19.0,0.0075,,
0.2305,31,-6.1,19.0,0.0075,,
0.2385,32,-4.8,19.0,0.0080,,
0.2470,33,-3.3,19.0,0.0075,,
0.2550,34,-1.5,19.0,0.0075,,
0.2635,35,-0.2,19.0,0.0075,,
0.2720,36,0.6,19.0,0.0075,,
0.2805,37,1.8,19.0,0.0075,,
0.2880,38,2.7,19.0,0.0075,,
0.2965,39,3.7,19.0,0.0075,,
0.3050,40,4.9,19.0,0.0075,,
0.3135,41,5.9,19.0,0.0075,,
0.3215,42,6.8,19.0,0.0075,,
0.3300,43,7.9,19.0,0.0075,,
0.3375,44,8.8,19.0,0.0075,,
0.3460,45,9.8,19.0,0.0075,,
0.3545,46,10.9,19.0,0.0075,,
0.3630,47,12.0,19.0,0.0075,,
0.3715,48,13.1,19.0,0.0075,,
0.3800,49,14.0,19.0,0.0085,,
0.3875,50,14.9,19.0,0.0070,,
0.3960,51,15.7,19.0,0.0075,,
0.4045,52,16.7,19.0,0.0075,,
0.4125,53,17.5,19.0,0.0075,,
0.4210,54,18.4,19.0,0.0075,,
0.4295,55,19.3,19.0,0.0085,,
0.4370,56,20.2,19.0,0.0070,,
0.4455,57,21.2,19.0,0.0075,,
0.4540,58,22.1,19.0,0.0075,,
0.4625,59,23.0,19.0,0.0075,,
0.4710,60,24.0,19.0,0.0075,,
0.4785,61,24.8,19.0,0.0075,,
0.4870,62,25.7,19.1,0.0075,,
0.4955,63,26.6,19.0,0.0075,,
0.5035,64,27.3,19.1,0.0075,,
0.5120,65,28.2,19.1,0.0075,,
0.5205,66,29.0,19.1,0.0085,,
0.5280,67,29.9,19.1,0.0075,,
0.5365,68,30.8,19.1,0.0075,,
0.5450,69,31.7,19.1,0.0075,,
0.5535,70,32.5,19.1,0.0075,,
0.5620,71,33.4,19.1,0.0075,,
0.5705,72,34.2,19.1,0.0085,,
0.5780,73,35.0,19.1,0.0070,,
0.5865,74,36.0,19.1,0.0075,,
0.5945,75,36.8,19.1,0.0075,,
0.6030,76,37.7,19.1,0.0075,,
0.6115,77,38.6,19.1,0.0075,,
0.6200,78,39.4,19.1,0.0075,,
0.6275,79,40.3,19.1,0.0075,,
0.6360,80,41.2,19.1,0.0075,,
0.6445,81,42.1,19.1,0.0075,,
0.6530,82,43.0,19.1,0.0075,,
0.6610,83,43.9,19.1,0.0075,,
0.6690,84,44.6,19.1,0.0080,,
0.6770,85,45.3,19.1,0.0075,,
0.6855,86,46.3,19.1,0.0075,,
0.6940,87,47.1,19.1,0.0075,,
0.7025,88,47.8,19.1,0.0070,,
0.7110,89,48.6,19.1,0.0075,,
0.7195,90,49.4,19.1,0.0085,,
0.7270,91,50.3,19.1,0.0070,,
0.7355,92,51.2,19.1,0.0075,,
0.7435,93,52.0,19.1,0.0075,,
0.7520,94,53.0,19.1,0.0075,,
0.7605,95,54.0,19.1,0.0075,,
0.7680,96,54.8,19.1,0.0075,,
0.7765,97,55.7,19.1,0.0075,,
0.7850,98,56.5,19.1,0.0075,,
0.7935,99,57.3,19.1,0.0075,,
0.8020,100,58.4,19.1,0.0075,,
0.8105,101,59.3,19.1,0.0075,,
0.8180,102,60.0,19.1,0.0075,,
0.8260,103,60.9,19.1,0.0075,,
0.8345,104,61.7,19.1,0.0075,,
0.8430,105,62.5,19.1,0.0075,,
0.8515,106,63.3,19.1,0.0075,,
0.8600,107,64.3,19.1,0.0075,,
0.8675,108,65.0,19.1,0.0075,,
0.8760,109,65.9,19.1,0.0075,,
0.8845,110,66.9,19.1,0.0075,,
0.8930,111,67.9,19.1,0.0075,,
0.9010,112,68.8,19.1,0.0075,,
0.9095,113,69.7,19.1,0.0075,,
0.9170,114,70.7,19.1,0.0075,,
0.9255,115,71.7,19.1,0.0075,,
0.9340,116,72.7,19.1,0.0075,,
0.9425,117,73.6,19.1,0.0075,,
0.9510,118,74.5,19.1,0.0075,,
0.9595,119,75.5,19.1,0.0075,,
0.9670,120,76.3,19.1,0.0075,,
0.9755,121,77.5,19.1,0.0075,,
0.9835,122,78.6,19.1,0.0075,,
0.9920,123,79.5,19.1,0.0075,,
1.0005,124,80.6,19.1,0.0075,,
1.0090,125,81.6,19.1,0.0085,,
1.0165,126,82.8,19.1,0.0075,,
1.0250,127,83.9,19.1,0.0075,,
1.0335,128,85.2,19.1,0.0075,,
1.0420,129,86.5,19.1,0.0075,,
1.0505,130,87.8,19.1,0.0075,,
1.0585,131,88.9,19.1,0.0080,,
1.0665,132,90.1,19.1,0.0075,,
1.0745,133,91.2,19.1,0.0075,,
1.0830,134,92.6,19.1,0.0075,,
1.0915,135,93.6,19.1,0.0075,,
1.1000,136,95.1,19.1,0.0075,,
1.1085,137,96.3,19.1,0.0075,,
1.1160,138,97.7,19.1,0.0075,,
1.1245,139,99.2,19.1,0.0075,,
1.1330,140,101.0,19.1,0.0075,,
1.1415,141,102.6,19.1,0.0075,,
1.1495,142,104.2,19.1,0.0075,,
1.1575,143,106.0,19.1,0.0080,,
1.1655,144,108.3,19.1,0.0075,,
1.1740,145,110.2,19.1,0.0075,,
1.1825,146,112.1,19.1,0.0075,,
1.1910,147,114.1,19.1,0.0075,,
1.1995,148,116.2,19.1,0.0075,,
1.2070,149,118.4,19.1,0.0075,,
1.2155,150,120.4,19.1,0.0075,,
1.2240,151,123.0,19.1,0.0075,,
1.2320,152,126.0,19.1,0.0075,,
1.2405,153,129.1,19.2,0.0075,,
1.2490,154,131.7,19.2,0.0075,,
1.2565,155,134.1,19.2,0.0075,,
1.2650,156,137.6,19.2,0.0075,,
1.2735,157,140.7,19.2,0.0075,,
1.2820,158,143.8,19.2,0.0075,,
1.2905,159,146.9,19.2,0.0075,,
1.2990,160,150.6,19.2,0.0075,,
1.3065,161,154.1,19.2,0.0075,,
1.3150,162,157.4,19.2,0.0075,,
1.3230,163,160.3,19.2,0.0075,,
1.3315,164,163.3,19.2,0.0075,,
1.3400,165,166.3,19.2,0.0075,,
1.3485,166,168.8,19.2,0.0085,,
1.3560,167,171.5,19.2,0.0075,,
1.3645,168,173.7,19.2,0.0075,,
1.3730,169,175.8,19.2,0.0075,,
1.3815,170,178.0,19.2,0.0075,,
1.3895,171,180.0,19.2,0.0075,,
1.3980,172,181.6,19.2,0.0075,,
1.4055,173,183.1,19.2,0.0075,,
1.4140,174,184.9,19.2,0.0075,,
1.4170,174,185.0,19.2,0.0060,,
1.4170,414,187.9,19.4,0.0000,,
1.4175,416,187.9,19.3,0.0005,,
1.4190,416,187.9,19.4,0.0030,,
1.4215,418,188.2,19.3,0.0015,,
1.4255,419,188.6,19.4,0.0065,,
1.4315,420,189.4,19.4,0.0100,,
1.4400,421,190.5,19.4,0.0140,,
1.4475,422,191.6,19.4,0.0150,,
1.4560,422,192.8,19.4,0.0170,,
1.4640,424,193.7,19.4,0.0050,,
1.4725,425,194.9,19.4,0.0140,,
1.4810,426,196.0,19.4,0.0140,,
1.4895,427,197.1,19.4,0.0140,,
1.4970,428,197.9,19.4,0.0150,,
1.5055,428,198.8,19.4,0.0170,,
1.5140,430,199.7,19.4,0.0055,,
1.5225,431,200.5,19.4,0.0140,,
1.5305,432,201.4,19.4,0.0135,,
1.5390,432,202.2,19.4,0.0170,,
1.5465,434,203.0,19.4,0.0050,,
1.5550,434,203.8,19.4,0.0170,,
1.5635,436,204.5,19.4,0.0055,,
1.5720,437,205.2,19.4,0.0140,,
1.5805,438,205.9,19.4,0.0140,,
1.5890,438,206.6,19.4,0.0170,,
1.5965,440,207.4,19.4,0.0050,,
1.6050,440,207.9,19.4,0.0170,,
1.6135,442,208.5,19.4,0.0055,,
1.6215,443,209.2,19.4,0.0135,,
1.6300,444,209.8,19.4,0.0140,,
1.6385,444,210.3,19.4,0.0170,,
1.6460,446,210.9,19.4,0.0050,,
1.6545,446,211.5,19.4,0.0170,,
1.6630,448,212.1,19.4,0.0055,,
1.6715,449,212.6,19.4,0.0140,,
1.6800,450,213.1,19.4,0.0140,,
1.6875,450,213.6,19.4,0.0150,,
1.6960,452,214.1,19.4,0.0055,,
1.7040,452,214.7,19.4,0.0160,,
1.7125,454,215.2,19.4,0.0055,,
1.7210,455,215.7,19.4,0.0140,,
1.7295,456,216.1,19.4,0.0140,,
1.7370,456,216.5,19.4,0.0150,,
1.7455,458,217.0,19.4,0.0055,,
1.7540,458,217.5,19.4,0.0170,,
1.7625,460,217.9,19.4,0.0055,,
1.7705,461,218.4,19.4,0.0135,,
1.7790,462,218.8,19.4,0.0140,,
1.7865,462,219.2,19.4,0.0150,,
1.7950,464,219.6,19.4,0.0055,,
1.8035,465,220.0,19.4,0.0170,,
1.8120,466,220.4,19.4,0.0140,,
1.8205,467,220.7,19.4,0.0140,,
1.8290,468,221.2,19.4,0.0140,,
1.8365,468,221.5,19.4,0.0150,,
1.8450,470,221.9,19.4,0.0055,,
1.8535,471,222.2,19.4,0.0140,,
1.8615,472,222.6,19.4,0.0135,,
1.8700,473,223.0,19.4,0.0140,,
1.8785,474,223.4,19.4,0.0140,,
1.8860,474,223.6,19.4,0.0150,,
1.8945,476,224.0,19.4,0.0055,,
1.9030,476,224.4,19.4,0.0170,,
1.9115,478,224.7,19.4,0.0055,,
1.9200,479,225.1,19.4,0.0140,,
1.9280,480,225.4,19.4,0.0135,,
1.9360,480,225.7,19.4,0.0160,,
1.9440,482,226.1,19.4,0.0055,,
1.9525,483,226.4,19.4,0.0140,,
1.9610,484,226.6,19.4,0.0140,,
1.9695,485,227.0,19.4,0.0140,,
1.9780,486,227.3,19.4,0.0140,,
1.9855,486,227.6,19.4,0.0150,,
1.9940,488,227.8,19.4,0.0055,,
2.0025,489,228.2,19.4,0.0140,,
2.0105,490,228.4,19.4,0.0135,,
2.0190,491,228.7,19.4,0.0140,,
2.0275,492,228.9,19.4,0.0170,,
2.0350,492,229.2,19.4,0.0150,,
2.0435,494,229.5,19.4,0.0055,,
2.0520,495,229.8,19.4,0.0140,,
2.0605,496,230.1,19.4,0.0140,,
2.0690,497,230.3,19.4,0.0140,,
2.0775,498,230.6,19.4,0.0120,,
2.0850,498,230.8,19.4,0.0150,,
2.0935,500,231.1,19.4,0.0055,,
2.1015,501,231.4,19.4,0.0135,,
2.1100,502,231.6,19.4,0.0140,,
2.1185,503,231.9,19.4,0.0140,,
2.1270,504,232.1,19.4,0.0170,,
2.1345,504,232.3,19.4,0.0150,,
2.1430,506,232.6,19.4,0.0055,,
2.1515,507,232.9,19.4,0.0140,,
2.1600,508,233.1,19.4,0.0140,,
2.1680,509,233.3,19.4,0.0135,,
2.1765,510,233.6,19.4,0.0170,,
2.1840,510,233.8,19.4,0.0150,,
2.1925,512,234.1,19.4,0.0055,,
2.1995,513,234.2,19.4,0.0115,,
