Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T2101
Scope 1/1, Sample 1/7 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-48.1,16.7,NaN,,
0.0005,1,-48.5,16.7,0.0005,,
0.0025,2,-48.6,16.7,0.0020,,
0.0050,3,-48.6,16.7,0.0025,,
0.0090,4,-48.6,16.7,0.0035,,
0.0160,5,-48.3,16.7,0.0060,,
0.0245,6,-47.8,16.7,0.0070,,
0.0320,7,-47.2,16.7,0.0070,,
0.0405,8,-46.2,16.7,0.0075,,
0.0485,9,-45.0,16.7,0.0065,,
0.0570,10,-43.7,16.7,0.0070,,
0.0655,11,-42.2,16.8,0.0070,,
0.0740,12,-40.7,16.7,0.0075,,
0.0815,13,-39.1,16.8,0.0070,,
0.0900,14,-37.2,16.8,0.0075,,
0.0985,15,-35.0,16.8,0.0070,,
0.1070,16,-32.8,16.8,0.0070,,
0.1155,17,-30.5,16.8,0.0070,,
0.1235,18,-28.5,16.8,0.0075,,
0.1315,19,-26.0,16.8,0.0075,,
0.1395,20,-23.5,16.8,0.0075,,
0.1480,21,-21.0,16.8,0.0070,,
0.1565,22,-18.6,16.8,0.0070,,
0.1650,23,-16.4,16.8,0.0070,,
0.1725,24,-14.5,16.8,0.0070,,
0.1810,25,-12.6,16.8,0.0075,,
0.1895,26,-10.9,16.8,0.0070,,
0.1980,27,-9.4,16.8,0.0070,,
0.2065,28,-7.9,16.8,0.0070,,
0.2150,29,-6.6,16.8,0.0075,,
0.2225,30,-5.3,16.8,0.0070,,
0.2310,31,-3.9,16.8,0.0075,,
0.2390,32,-2.4,16.8,0.0065,,
0.2475,33,-0.6,16.8,0.0070,,
0.2560,34,-0.1,16.8,0.0070,,
0.2635,35,0.7,16.8,0.0070,,
0.2720,36,1.8,16.8,0.0075,,
0.2805,37,2.8,16.8,0.0070,,
0.2890,38,3.8,16.8,0.0070,,
0.2975,39,4.7,16.8,0.0070,,
0.3060,40,5.6,16.8,0.0070,,
0.3135,41,6.4,16.8,0.0070,,
0.3220,42,7.4,16.8,0.0075,,
0.3300,43,8.4,16.8,0.0065,,
0.3385,44,9.3,16.8,0.0070,,
0.3470,45,10.3,16.8,0.0070,,
0.3555,46,11.1,16.8,0.0075,,
0.3630,47,12.2,16.8,0.0070,,
0.3715,48,13.1,16.8,0.0075,,
0.3800,49,14.1,16.8,0.0070,,
0.3885,50,14.9,16.8,0.0070,,
0.3965,51,15.8,16.8,0.0065,,
0.4050,52,16.5,16.8,0.0070,,
0.4125,53,17.3,16.8,0.0060,,
0.4210,54,18.0,16.8,0.0075,,
0.4295,55,18.8,16.8,0.0070,,
0.4380,56,19.6,16.8,0.0070,,
0.4465,57,20.4,16.8,0.0070,,
0.4550,58,21.2,16.8,0.0075,,
0.4625,59,21.9,16.8,0.0070,,
0.4710,60,22.7,16.8,0.0075,,
0.4795,61,23.4,16.8,0.0070,,
0.4875,62,24.2,16.8,0.0065,,
0.4960,63,25.0,16.9,0.0070,,
0.5035,64,25.6,16.9,0.0070,,
0.5120,65,26.4,16.9,0.0075,,
0.5205,66,27.2,16.9,0.0075,,
0.5290,67,28.0,16.9,0.0070,,
0.5375,68,28.8,16.9,0.0070,,
0.5460,69,29.6,16.9,0.0070,,
0.5535,70,30.2,16.9,0.0070,,
0.5620,71,31.0,16.9,0.0075,,
0.5705,72,31.8,16.9,0.0070,,
0.5785,73,32.6,16.9,0.0065,,
0.5870,74,33.3,16.9,0.0070,,
0.5955,75,34.1,16.9,0.0070,,
0.6030,76,34.8,16.9,0.0070,,
0.6115,77,35.6,16.9,0.0075,,
0.6200,78,36.4,16.9,0.0070,,
0.6285,79,37.2,16.9,0.0070,,
0.6370,80,37.9,16.9,0.0070,,
0.6455,81,38.6,16.9,0.0075,,
0.6530,82,39.4,16.9,0.0070,,
0.6615,83,40.2,16.9,0.0075,,
0.6695,84,41.0,16.9,0.0065,,
0.6780,85,41.7,16.9,0.0070,,
0.6865,86,42.6,16.9,0.0070,,
0.6950,87,43.3,16.9,0.0075,,
0.7025,88,44.2,16.9,0.0070,,
0.7110,89,45.0,16.9,0.0075,,
0.7195,90,45.8,16.9,0.0070,,
