Date,Calib. Date,Time ,Sample.ID,Treatment,Temperature,pH_mV,pH,Salinity (PSU),Notes (sampler)
20181102,20181102,16:30,TANK1,low,11.32,-6.5,7.14,29.63,
20181102,20181102,16:30,TANK2,low,11.37,13.9,6.64,29.63,
20181107,20181107,12:54,TANK1,low,10.48,1.7,7.03,29.76,
20181107,20181107,12:55,TANK2,low,10.5,4.8,6.97,29.81,
20181107,20181107,12:57,TANK3,amb,10.48,-34.8,7.65,29.86,
20181107,20181107,13:00,TANK4,amb,10.48,-34.8,7.65,29.87,
20181112,20181107,11:10,TANK1,low,9.45,-2.3,7.04,30.03,
20181112,20181107,13:21,TANK1,low,9.88,8,6.86,30.08,
20181112,20181107,11:12,TANK2,low,9.46,-1.7,7.03,30.09,
20181112,20181107,13:24,TANK2,low,9.88,14.9,6.74,30.01,
20181112,20181107,11:12,TANK3,amb,9.46,-37.7,7.66,30.13,
20181112,20181107,13:30,TANK3,amb,9.88,-34.9,7.61,30.09,
20181112,20181107,11:13,TANK4,amb,9.46,-37.1,7.65,30.14,
20181112,20181107,13:28,TANK4,amb,9.87,-34.9,7.61,30.13,
20181116,20181107,12:09,TANK1,low,9.58,12,6.97,30.24,
20181116,20181107,12:11,TANK2,low,9.57,13.2,6.77,30.29,
20181116,20181107,12:13,TANK3,amb,9.61,-36.8,7.64,30.30,
20181116,20181107,12:16,TANK4,amb,9.6,-36.5,7.64,30.30,
20181119,20181119,11:38,TANK1,low,8.32,10.6,6.81,30.04,
20181119,20181119,11:40,TANK2,low,8.33,15,6.74,30.08,
20181119,20181119,11:44,TANK3,amb,8.33,-39.9,7.7,30.10,
20181119,20181119,11:49,TANK4,amb,8.34,-39.8,7.7,30.11,
20181128,20181128,13:30,TANK1,low,10.21,8.4,6.85,29.82,
20181128,20181128,13:32,TANK2,low,10.21,11.3,6.8,29.81,
20181128,20181128,13:33,TANK3,amb,10.2,-40.1,7.7,29.82,
20181128,20181128,13:36,TANK4,amb,10.19,-40.1,7.7,29.82,
20181205,20181128,13:40,TANK1,low,9.39,6.8,6.88,29.70,
20181205,20181128,13:43,TANK2,low,9.4,8.6,6.85,29.77,
20181205,20181128,13:45,TANK3,amb,9.38,-35.5,7.62,29.77,
20181205,20181128,13:47,TANK4,amb,9.41,-36.7,7.64,29.77,
20181205,20181128,13:49,TANK5,low-variable,9.36,-13,7.23,29.79,
20181205,20181128,13:52,TANK6,amb,9.27,-32.8,7.57,29.79,
20181212,20181128,16:40,TANK1,low,9.87,6.1,6.89,28.93,
20181212,20181128,16:41,TANK2,low,9.88,8,6.86,28.94,
20181212,20181128,16:42,TANK3,amb,9.88,-40.2,7.7,28.93,
20181212,20181128,16:44,TANK4,amb,9.87,-40.2,7.7,29.92,
20181212,20181128,16:45,TANK5,low-variable,9.91,-3.1,7.05,28.96,
20181212,20181128,16:47,TANK6,amb,9.85,-40.5,7.71,28.93,
