Date,ZeroPoint,Slope,pH4 (171.4 mV),pH7 (0 mV),pH10 (-171.4 mV),temp,Calib.status,notes,Initials
20180710,6.93,-57.12,167.20,-5.20,-180.70,20.30,pass,LabX gave 2 zero point and slope values; took 1st,ES
20180711,6.80,-56.55,168.30,-2.40,-179.70,20.50,pass,LabX gave 2 zero point and slope values; took 1st,ES
20180712,7.02,-55.83,168.40,0.00,-178.40,20.90,pass,LabX gave 2 zero point and slope values; took 1st,ES
20180920,6.92,-57.23,165.30,-6.40,-181.20,17.70,pass,None,
20180921,6.91,-57.65,166.30,-6.20,-181.60,19.60,pass,None,
20180923,6.92,-57.47,166.00,-6.20,-181.30,18.90,pass,None,
20180924,6.93,-57.46,165.50,-5.40,-180.80,17.80,pass,Slight jump in pH 4,
20181030,7.07,-57.79,168.80,1.50,-175.40,16.40,pass,used Cal2 values,
20181102,7.03,-57.45,169.70,-0.10,-176.00,16.70,pass,used Cal2 values,
20181107,7.03,-57.87,170.60,0.10,-176.30,18.60,pass,used Cal2 values,
20181112,7.05,-55.93,168.90,0.10,-171.80,14.80,pass,used Cal2 values,
20181116,7.05,-56.25,169.50,0.10,-172.10,16.20,pass,used second zero and slope values,KRM
20181119,7.04,-55.79,168.30,0.00,-170.80,16.30,pass,used second zero and slope values,KRM
20181128,7.18,-57.81,167.40,7.80,-169.20,16.50,pass?,used second zero and slope values,KRM
20181205,7.19,-59.94,167.40,7.50,-162.20,13.10,fail,used second zero and slope values,KRM
20181205,7.06,-53.23,165.30,0.00,-164.70,12.50,??????,reran b/c of inconsistency,KRM
20181205,7.06,-54.16,166.30,0.10,-167.10,13.30,pass,used second zero and slope values,KRM
20181212,--,--,--,--,--,--,--,Probe is very inconsistent during calibration; all 3 runs fail- samples poisoned. Tanks 1-4 run on 20181219 and tanks 5-6 run on 20190103.,KRM
20181219,7.01,-55.96,170.30,-2.30,-174.50,14.30,pass,New probe and Cal2 values used; very constant. Tanks 1-4 from 20181212 run today. 20181219 samples poisoned. Used second slope and zero values,KRM
20190102,6.94,-56.20,165.40,-6.60,-178.10,13.80,pass,new buffer,ES/NS/EC
20190103,6.93,-56.40,165.60,-6.30,-178.70,17.10,pass,used second zero and slope values,KRM
20190106,6.93,-56.01,164.90,-6.50,-178.50,15.70,pass,Temp was ~1.5C lower for pH10 (14.7C vs 16C); used second zero and slope values,KRM
20190114,6.92,-56.02,165.10,-6.90,-178.30,16.60,pass,used second zero and slope values,KRM
20190419,7.00,-56.32,169.20,-1.90,-173.90,17.50,pass,used second zero and slope values,KRM
20190502,6.97,-56.36,168.70,-3.40,-175.60,17.60,pass,used second zero and slope values,KRM
20190509,6.96,-57.33,171.10,-2.70,-175.60,22.10,pass,used second zero and slope values,KRM
20190529,6.98,-56.74,170.40,-2.50,-175.10,19.70,pass,used second zero and slope values,ST
20190906,7.03,-55.47,171.30,0.30,-168.60,19.20,pass,used second zero and slope values,ST
20190913,7.04,-55.41,172.60,1.10,-166.90,21.00,PASS,used second zero and slope values,ST
20190919,7.08,-54.03,172.30,2.90,-157.90,19.70,PASS,used second zero and slope values,ST
20190927,7.03,-56.39,172.10,0.20,-171.80,18.40,PASS,used second zero and slope values,ST
20191011,7.05,-55.34,169.20,-0.10,-170.80,13.50,PASS,used second zero and slope values,ST
20191219,7.14,-55.33,175.00,5.10,-164.00,16.60,PASS,used second zero and slope values,ST
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
