"Date","Run","SDR_position","Lpc","Leq","Lz","alpha"
"09.05.19","1","A1",-0.669802323991801,-0.669802323991801,-0.729773614363777,0.4
"09.05.19","1","B1",-0.833411003576696,-0.808268742892124,-0.932376226285452,0.4
"09.05.19","1","C1",-0.283467161410022,-0.1725073056692,-0.1725073056692,0.4
"09.05.19","1","D1",-1.76684664938912,-1.71562679425838,-1.71562679425838,0.4
"09.05.19","1","A2",-0.379147264978339,-0.542579630895422,-0.542579630895422,0.4
"09.05.19","1","B2",-0.530124483691781,-0.530124483691781,-0.209971480425197,0.4
"09.05.19","1","C2",-0.502838956275139,-0.496191750906978,-0.611099744245529,0.4
"09.05.19","1","D2",-0.802956758597206,-0.811257571547652,-0.811257571547652,0.4
"09.05.19","1","A3",-0.670299931647301,-0.628371992663715,-1.4804907723855,0.4
"09.05.19","1","B3",-0.93621147546758,-0.914591231553257,-0.907824663939223,0.4
"09.05.19","1","C3",-0.140410767696909,-0.140410767696909,-0.223769769250712,0.4
"09.05.19","1","D3",-0.619768198141272,-0.511255244755236,-0.495385277923038,0.4
"09.05.19","1","A4",-0.921882028202821,-0.785258236180747,-0.785258236180747,0.4
"09.05.19","1","B4",-0.559015819785667,-0.85793291329133,-0.542927598717078,0.4
"09.05.19","1","C4",-1.15177340754484,-1.15177340754484,-1.15521884105095,0.4
"09.05.19","1","D4",-1.53245701666754,-1.62164456596035,-1.62164456596035,0.4
"09.05.19","1","A5",-0.577297568103537,-0.639831475239823,-0.436915287244401,0.4
"09.05.19","1","B5",-0.0985364261407031,-0.0985364261407031,-0.129075091575095,0.4
"09.05.19","1","C5",-0.0460942019212048,-0.050926703698687,-0.00676120458949902,0.4
"09.05.19","1","D5",-0.99668961227452,-1.12781954375213,-1.12781954375213,0.4
"09.05.19","1","A6",-1.19168147616986,-1.19716279732232,-1.19716279732232,0.4
"09.05.19","1","B6",-0.935440894937147,-0.945402432575358,-0.945402432575358,0.4
"09.05.19","1","C6",-0.795144329896906,-0.887138755980861,-0.887138755980861,0.4
"09.05.19","1","D6",-1.0359359895965,-1.22906630211894,-1.22906630211894,0.4
"09.05.19","2","A1",-1.47819242594676,-1.45229552971301,-1.49669172932331,0.4
"09.05.19","2","B1",-0.574702044790649,-0.578073136427564,-0.635415546464061,0.4
"09.05.19","2","C1",-1.20177803405989,-1.17955174525413,-1.17955174525413,0.4
"09.05.19","2","D1",-0.719936649069181,-0.731476329631803,-0.731476329631803,0.4
"09.05.19","2","A2",-0.653019645034549,-0.625894970825226,-0.625894970825226,0.4
"09.05.19","2","B2",-0.377761391675482,-0.370469141323792,-0.370469141323792,0.4
"09.05.19","2","C2",-0.330821215409662,-0.434024435394299,-0.434024435394299,0.4
"09.05.19","2","D2",-0.574561785682316,-0.602333333333337,-0.602333333333337,0.4
"09.05.19","2","A3",-0.730619199665782,-0.734982687050726,-0.775419317524579,0.4
"09.05.19","2","B3",-1.80519929865576,-1.76329561078794,-1.76329561078794,0.4
"09.05.19","2","C3",-1.17289102564103,-1.20954763296318,-1.20954763296318,0.4
"09.05.19","2","D3",-0.641668486492198,-0.643406195207483,-0.643406195207483,0.4
"09.05.19","2","A4",-0.510096972247191,-0.572816103185457,-0.572816103185457,0.4
